Username,Date,Star rating,Comment,Link
Dotnet Mob,19-Aug-17 4:05:08 AM,none,<a href="https://goo.gl/RFY5C2">https://goo.gl/RFY5C2</a>   : Subscribe to Dotnet Mob<br /><a href="https://goo.gl/DSSHtV">https://goo.gl/DSSHtV</a>    : Mvc CRUD Operation Using Pop Up Windows<br /><a href="https://goo.gl/zkoWSg">https://goo.gl/zkoWSg</a>   : jQuery Ajax CRUD in <a href="http://asp.net/">Asp.Net</a> MVC<br /><a href="https://goo.gl/bPcyXW">https://goo.gl/bPcyXW</a>  : Buy me a Coffee,https://www.youtube.com/iublAXAm8HQ
Viji Ajai,30-Jul-18 4:50:23 PM,none,Cannot deserialize the current JSON object (e.g. {&quot;name&quot;:&quot;value&quot;}) into type &#39;System.Collections.Generic.IEnumerable`1[MVC.Models.MVCEmployeeModel]&#39; because the type requires a JSON array (e.g. [123]) to deserialize correctly<br />Error is coming,https://www.youtube.com/iublAXAm8HQ
Viji Ajai,30-Jul-18 4:49:12 PM,none,Cannot deserialize the current JSON object (e.g. {&quot;name&quot;:&quot;value&quot;}) into type &#39;System.Collections.Generic.IEnumerable`1[MVC.Models.MVCEmployeeModel]&#39; because the type requires a JSON array (e.g. [123]) to deserialize correctly<br />pls help,https://www.youtube.com/iublAXAm8HQ
Deep Gagan,27-Jul-18 5:09:33 PM,none,error occur<br />An exception of type &#39;System.AggregateException&#39; occurred in mscorlib.dll but was not handled in user code,https://www.youtube.com/iublAXAm8HQ
alagar karthik,17-Jul-18 2:33:33 PM,none,Good help full example of Crud operation. Thanks,https://www.youtube.com/iublAXAm8HQ
Leivas Santos,11-Jul-18 7:08:01 PM,none,Great video thanks!,https://www.youtube.com/iublAXAm8HQ
snehal kolhe,09-Jul-18 6:48:36 PM,none,Very helpful keep the good work :),https://www.youtube.com/iublAXAm8HQ
cody Man,05-Jul-18 3:17:05 PM,none,wonderful. this tutorial is very helpful understandable and well explained. great job,https://www.youtube.com/iublAXAm8HQ
Dayan Chathuranga,14-Jun-18 4:11:37 AM,none,Great Tutorial.this is the best,https://www.youtube.com/iublAXAm8HQ
Guan Ji Lim,15-May-18 2:15:05 PM,none,use <br /><br />SET IDENTITY_INSERT Employee ON<br /><br />insert into [dbo].[Employee] (EmployeeID [Name]Position Age Salary) <br />Values(2&#39;jon&#39;&#39;dog&#39; 12)<br /><br />SET IDENTITY_INSERT Employee OFF,https://www.youtube.com/iublAXAm8HQ
Milan Josipovic,12-May-18 11:48:50 PM,none,Hi all<br />tnx for great video.<br />Here is Site.css code so you can just past it :-)<br />CSS:<br />body {<br />    padding-top: 50px;<br />    padding-bottom: 20px;<br />}<br /><br />/* Set padding to keep content from hitting the edges */<br />.body-content {<br />    padding-left: 15px;<br />    padding-right: 15px;<br />}<br /><br />/* Set width on the form input elements since they&#39;re 100% wide by default */<br />input<br />select<br />textarea {<br />    max-width: 340px;<br />}<br /><br />.field-validaton-error{<br />    color:<a href="http://www.youtube.com/results?search_query=%23b94a48">#b94a48</a>;<br />    font-size:18px;<br />}<br /><br />.field-validaton-valid{<br />    display:none;<br />}<br /><br />input.input-validation-error{<br />    border:1px solid <a href="http://www.youtube.com/results?search_query=%23b94a48">#b94a48</a>;<br />}<br /><br />input[type=&quot;checkbox&quot;].input-validation-error{<br />    border:0 none;<br />}<br /><br />.validation-summary-errors{<br />    color:<a href="http://www.youtube.com/results?search_query=%23b94a48">#b94a48</a>;<br />}<br /><br />.validation-summary-valid{<br />    display:none;<br />}<br /><br />inputtextarea{<br />    display:block;<br />    height:100%;<br />    padding:5px 10px;<br />    background:none;<br />    background-image:none;<br />    border:1px solid <a href="http://www.youtube.com/results?search_query=%23a0b3b0">#a0b3b0</a>;<br />    color:<a href="http://www.youtube.com/results?search_query=%23fff">#fff</a>;<br />    border-radius:0;<br />    transition:border-color .25s easebox-shadow .25s ease;<br />}<br /><br />.button{<br />    border:1px solid <a href="http://www.youtube.com/results?search_query=%23fff">#fff</a>;<br />    outline:none;<br />    border-radius:0;<br />    padding:10px 10px;<br />    font-weight:400;<br />    background:<a href="http://www.youtube.com/results?search_query=%232a3843">#2a3843</a>;<br />    color:<a href="http://www.youtube.com/results?search_query=%23fff">#fff</a>;<br />    -webkit-appearance:none;<br />}<br /><br />    .button:hover.button:focus{<br />        color:<a href="http://www.youtube.com/results?search_query=%23fff">#fff</a> !important;<br />    }<br /><br />.form-body{<br />    background:rgba(1935470.9);<br />    padding:20px 40px;<br />    max-width:600px;<br />    margin:30px auto;<br />    box-shadow:0 4px 10px 4px rgba(1935470.3);<br />}<br /><br />body{<br />    background:<a href="http://www.youtube.com/results?search_query=%23fff">#fff</a>;<br />}<br /><br />label{<br />    color:<a href="http://www.youtube.com/results?search_query=%23fff">#fff</a>;<br />    font-size:22px;<br />}<br /><br />.form-body inputtextarea{<br />    font-size:20px;<br />}<br /><br />textarea:focusinput:focus{<br />    outline:none;<br />}<br /><br />.table-heading{<br />    background-color:<a href="http://www.youtube.com/results?search_query=%232a3843">#2a3843</a>;<br />    color:white;<br />}<br /><br />.add-new{<br />    background-color:<a href="http://www.youtube.com/results?search_query=%231ab188">#1ab188</a>;<br />},https://www.youtube.com/iublAXAm8HQ
Tatiana V,10-May-18 4:03:15 AM,none,The best video on this topic. Thank u!,https://www.youtube.com/iublAXAm8HQ
Julian Diaz,04-May-18 10:17:16 PM,none,Some tutorial to do the same but with several related tables between them? Thanks!,https://www.youtube.com/iublAXAm8HQ
HuiShen Tin,28-Apr-18 2:51:39 AM,none,Hi if I want to implement the &quot;Details&quot; function to show the specific user details may I know how to do that ?,https://www.youtube.com/iublAXAm8HQ
Sumayya Shahul,18-Apr-18 2:07:47 PM,none,Hi Sir your video is extremely helpful for beginers in mvc and web api. Could you please explain how to add  a &#39;file upload&#39; field to the Add or Edit view? Normal code in httpPost action IN THE CONTROLLER is not working.Please help,https://www.youtube.com/iublAXAm8HQ
Maikel Cutiño Fernández,14-Apr-18 1:26:10 AM,none,Hello friend very good video I would like to know how I can perform validations,https://www.youtube.com/iublAXAm8HQ
Da Prodigy,13-Apr-18 5:23:49 PM,none,Thaks so much for this video. But whiich is better is it MVC controller or WEB API,https://www.youtube.com/iublAXAm8HQ
